#  Alabama Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,43
201602,49.8
201603,59.7
201604,63.6
201605,70.2
201606,79.2
201607,82
201608,81.6
201609,78.6
201610,68.5
201611,57.8
201612,50.1
201701,52.4
201702,55.6
201703,58.4
201704,67.2
201705,69.9
201706,75.8
201707,80.6
201708,78.8
201709,73.4
201710,65.8
201711,55.6
201712,46.9
201801,40.4
201802,58
201803,55.4
201804,59.5
201805,74.4
201806,79.3
201807,80.7
201808,79.5
201809,79.4
201810,67.4
201811,50.4
201812,49
201901,46.5
201902,56.1
201903,55
201904,63.5
201905,74.2
201906,78.1
201907,80.6
201908,80.6
201909,80.2
201910,67.8
201911,50.6
201912,51.3
202001,49.5
202002,51
202003,63.5
202004,62
202005,68.9
202006,76.9
202007,80.9
202008,80.2
202009,74.3
202010,66.9
202011,58.4
202012,45.9
202101,46.6
202102,46.7
202103,59.6
202104,61.6
202105,69.4
202106,77
202107,79.3
202108,80
202109,73.9
202110,67.3
202111,52.2
202112,56.8
202201,43.9
202202,50.1
202203,57.4
202204,62.6
202205,73.5
202206,80.4
202207,81.7
202208,79.3
202209,73.7
202210,61.2
202211,55.3
202212,49.1
202301,51.4
202302,56.5
202303,58.7
202304,63.3
202305,70.3
202306,76.6
202307,81
202308,82.1
202309,75.7
202310,65.2
202311,54.5
202312,48.8
202401,43.3
202402,52.6
202403,58
202404,64.3
202405,74.1
202406,79.1
202407,81.6
202408,81
202409,75.6
202410,66.6
202411,61.4
202412,48.5
202501,40.1
202502,52.7
202503,58.3
202504,66.8
202505,72
202506,78.3
202507,82.1
202508,78.3
202509,75.8
202510,65.8
202511,55.8
202512,48
202601,44.9
202602,51.2
202603,62.4
