#  Arizona Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,41.8
201602,50.6
201603,54.9
201604,58.5
201605,64.6
201606,80.3
201607,82.4
201608,77.5
201609,71.6
201610,66.1
201611,53.1
201612,44.7
201701,42.3
201702,49.4
201703,56.6
201704,59.9
201705,66.1
201706,79.8
201707,81.5
201708,79.1
201709,72.4
201710,65.1
201711,57.6
201712,46.6
201801,47.6
201802,46.7
201803,52.3
201804,62.9
201805,68.5
201806,78.6
201807,82.3
201808,80.2
201809,76
201810,59.9
201811,49.4
201812,42.8
201901,42.4
201902,40.9
201903,51.7
201904,60.3
201905,60.7
201906,75.2
201907,81.9
201908,81.9
201909,73.8
201910,60
201911,52.1
201912,42.2
202001,43.7
202002,45.9
202003,51
202004,59.3
202005,70.5
202006,76.8
202007,82.8
202008,84.1
202009,75.6
202010,66.2
202011,53.5
202012,42
202101,42.6
202102,46.5
202103,49.4
202104,61.2
202105,67.9
202106,80.6
202107,81.4
202108,79.5
202109,74.8
202110,59.9
202111,55.8
202112,45.6
202201,43.5
202202,44
202203,51.8
202204,60.5
202205,68.6
202206,78.6
202207,82.2
202208,79
202209,75.9
202210,61.8
202211,46.1
202212,42.8
202301,40.3
202302,41.9
202303,47.2
202304,58.4
202305,66.5
202306,72.4
202307,85.4
202308,80.7
202309,73.6
202310,64.4
202311,52.6
202312,45.4
202401,42.1
202402,46.8
202403,49.9
202404,58
202405,66.5
202406,80.4
202407,84.5
202408,81.4
202409,76.4
202410,68
202411,48.5
202412,47.8
202501,40.2
202502,51.3
202503,52.1
202504,58.6
202505,67.4
202506,78.3
202507,81.5
202508,82.4
202509,74
202510,64.1
202511,55.2
202512,50.3
202601,45.8
202602,52.2
202603,63.4
