#  Arkansas Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,39.5
201602,46.9
201603,55.5
201604,62.5
201605,67.2
201606,78.9
201607,82
201608,80
201609,75.8
201610,67
201611,55.7
201612,42.5
201701,45.2
201702,52.5
201703,55.7
201704,64.2
201705,67.7
201706,75.5
201707,80.6
201708,76.9
201709,73.2
201710,62.9
201711,53.7
201712,42.4
201801,35.7
201802,45.9
201803,53.9
201804,55.2
201805,75
201806,80.1
201807,81.8
201808,78.8
201809,75
201810,62.6
201811,45.8
201812,44.2
201901,40.8
201902,46
201903,48.9
201904,60.8
201905,70.6
201906,75.6
201907,79
201908,80.3
201909,79.7
201910,60.8
201911,46.4
201912,45.7
202001,43.9
202002,44.5
202003,56.5
202004,58.8
202005,66.8
202006,76.4
202007,81.3
202008,77.8
202009,71.8
202010,59.4
202011,54
202012,42.6
202101,41.4
202102,34.8
202103,55.2
202104,58.4
202105,66.8
202106,76.9
202107,79.4
202108,80.7
202109,74.3
202110,65.5
202111,49.4
202112,53.4
202201,38.7
202202,42.2
202203,52.1
202204,59.9
202205,71
202206,78.2
202207,84.1
202208,79.4
202209,73.8
202210,61.4
202211,49.8
202212,43.2
202301,46.5
202302,48.8
202303,53
202304,60.3
202305,70
202306,77.3
202307,81
202308,81.7
202309,74.8
202310,64
202311,51.7
202312,46
202401,36.1
202402,51.7
202403,55.4
202404,63.3
202405,72.8
202406,78.3
202407,79.7
202408,80.5
202409,73.4
202410,66
202411,56.6
202412,46.3
202501,36.2
202502,43.9
202503,57.1
202504,64.3
202505,68.5
202506,78.8
202507,82.7
202508,79.3
202509,74.9
202510,65.3
202511,55.4
202512,44.7
202601,39.1
202602,49.1
202603,61.1
