#  Colorado Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,25.6
201602,32.4
201603,37.9
201604,43.7
201605,50.8
201606,66.4
201607,69.2
201608,64.5
201609,59.7
201610,51.8
201611,40.2
201612,25.2
201701,25.3
201702,35.4
201703,42.5
201704,44.3
201705,51.5
201706,64.8
201707,69.4
201708,64.7
201709,59.1
201710,46.7
201711,41.3
201712,30.1
201801,29.7
201802,28.6
201803,37.8
201804,44
201805,57.2
201806,66.5
201807,70
201808,66.2
201809,61.9
201810,45
201811,32.5
201812,26.6
201901,26
201902,24.9
201903,33.8
201904,45.5
201905,47.9
201906,60.6
201907,69.1
201908,68.3
201909,62.9
201910,40.9
201911,35.2
201912,28.1
202001,27.4
202002,26.4
202003,38.8
202004,43.4
202005,55.6
202006,65
202007,69.3
202008,70.1
202009,58.8
202010,47.1
202011,38.5
202012,26.7
202101,26.7
202102,24.8
202103,35.8
202104,43.1
202105,52.9
202106,65.7
202107,70
202108,67.4
202109,62.4
202110,47.8
202111,40.7
202112,32.4
202201,26.7
202202,25.1
202203,35.1
202204,43.9
202205,53.4
202206,64.4
202207,70.4
202208,67.8
202209,62.5
202210,47.7
202211,31.6
202212,25.7
202301,23.6
202302,24.9
202303,30.4
202304,41.2
202305,54.4
202306,59.9
202307,69.4
202308,67.7
202309,60.5
202310,47.8
202311,37
202312,30.3
202401,24.6
202402,32.1
202403,36.2
202404,45.3
202405,51.4
202406,66.8
202407,68.3
202408,67.9
202409,61.7
202410,52.7
202411,33.1
202412,32
202501,20.4
202502,30
202503,39.5
202504,44.3
202505,52.6
202506,64.5
202507,69
202508,67.5
202509,59.3
202510,49.6
202511,40.8
202512,35.4
202601,28.9
202602,36.7
202603,46.8
