#  Connecticut Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,29.7
201602,32
201603,43.2
201604,46.8
201605,58.4
201606,67.4
201607,74.1
201608,73.9
201609,66.2
201610,53.5
201611,43.5
201612,32.6
201701,32.7
201702,34.6
201703,33.4
201704,51.8
201705,56.7
201706,67
201707,71.5
201708,69.1
201709,66
201710,58.6
201711,41
201712,28.7
201801,25.4
201802,35.7
201803,36.4
201804,43.4
201805,62.2
201806,66.4
201807,74
201808,74.3
201809,66.1
201810,52.3
201811,39.1
201812,33.8
201901,27
201902,30.2
201903,35
201904,49.1
201905,57.1
201906,66.5
201907,74.9
201908,70.6
201909,63.2
201910,53.6
201911,38.1
201912,31.7
202001,33
202002,33.9
202003,41.4
202004,44.4
202005,56.4
202006,68.4
202007,75.6
202008,72.6
202009,63.5
202010,53.2
202011,45.4
202012,33.6
202101,29.2
202102,28.5
202103,39.3
202104,48.7
202105,57.8
202106,69.2
202107,71.1
202108,72.8
202109,65.2
202110,56.8
202111,41
202112,37
202201,24.2
202202,30.6
202203,39
202204,47.6
202205,60.7
202206,66.3
202207,74.2
202208,74.5
202209,63.6
202210,52.5
202211,45.2
202212,33.5
202301,37.1
202302,33.7
202303,38.8
202304,51
202305,56.9
202306,65.4
202307,74.8
202308,69.5
202309,65.1
202310,56.1
202311,39.6
202312,38.5
202401,31.3
202402,33.4
202403,42.2
202404,48.2
202405,60.9
202406,69.8
202407,74.4
202408,70
202409,63.4
202410,54
202411,45.8
202412,31.6
202501,26.1
202502,28.8
202503,41.3
202504,49.4
202505,59
202506,69
202507,75.2
202508,68.6
202509,64.4
202510,53.3
202511,40.9
202512,28.6
202601,24.4
202602,24.6
202603,39.9
