#  Delaware Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,34.3
201602,38.5
201603,49.7
201604,53.1
201605,61.7
201606,72.4
201607,79.6
201608,78.6
201609,72
201610,60.3
201611,49
201612,39.2
201701,39.1
201702,44.4
201703,43.8
201704,59.6
201705,62.8
201706,73.6
201707,78.4
201708,74
201709,69.8
201710,62.4
201711,47.5
201712,36.1
201801,32.8
201802,43.2
201803,40.5
201804,51.6
201805,68.3
201806,72.6
201807,77.2
201808,78.6
201809,73.6
201810,60.2
201811,45.7
201812,41.4
201901,35.3
201902,38.7
201903,43.2
201904,58.7
201905,66.9
201906,73.8
201907,79.8
201908,76.4
201909,71.6
201910,61.5
201911,43.6
201912,40
202001,40.2
202002,41.9
202003,49.5
202004,51.8
202005,60.6
202006,73.7
202007,80.7
202008,77.2
202009,68.7
202010,60
202011,51.8
202012,39.7
202101,36.2
202102,35.6
202103,47.6
202104,55.3
202105,63.3
202106,73.8
202107,77.7
202108,76.9
202109,70.1
202110,63.2
202111,45.1
202112,44
202201,31.6
202202,39.1
202203,47.2
202204,53.2
202205,65.1
202206,72.4
202207,79
202208,78.1
202209,69.3
202210,55.8
202211,49.8
202212,37.8
202301,43.1
202302,42.6
202303,45.4
202304,58.4
202305,61.4
202306,70.1
202307,78.3
202308,75.3
202309,69.5
202310,59.6
202311,45.8
202312,43.5
202401,37.5
202402,39.6
202403,48.2
202404,55.7
202405,65
202406,74.8
202407,78.8
202408,75
202409,69
202410,59.1
202411,50.8
202412,38.2
202501,30
202502,37.1
202503,48.9
202504,56.3
202505,64.8
202506,74.5
202507,79.5
202508,71.8
202509,69.5
202510,57.8
202511,46.9
202512,34.8
202601,31.1
202602,32.4
202603,48.6
