#  Florida Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,56.9
201602,59.4
201603,68.8
201604,71.2
201605,76.2
201606,81.9
201607,84
201608,83
201609,81.1
201610,74.6
201611,66.6
201612,65.9
201701,62.8
201702,65.5
201703,66.2
201704,72.3
201705,77.1
201706,80.2
201707,82.8
201708,82.8
201709,80.4
201710,74.9
201711,67.4
201712,61.7
201801,55
201802,69.2
201803,63
201804,70.2
201805,76.4
201806,81.5
201807,82.4
201808,82.2
201809,82.4
201810,76.5
201811,66.7
201812,61.8
201901,58.4
201902,67.5
201903,65.7
201904,71.2
201905,78.8
201906,82.3
201907,82.8
201908,82.9
201909,81.9
201910,77.9
201911,64.9
201912,63.9
202001,61.8
202002,63.6
202003,71
202004,73.1
202005,75.8
202006,81
202007,83
202008,83.2
202009,80.6
202010,77.2
202011,70.8
202012,57.6
202101,58.7
202102,63.7
202103,67.8
202104,69.9
202105,76.1
202106,80.7
202107,81.9
202108,82.6
202109,79.7
202110,75.3
202111,63.4
202112,66.5
202201,57.6
202202,63.2
202203,68.6
202204,72
202205,77.7
202206,82
202207,83.2
202208,83
202209,80
202210,71.8
202211,69.7
202212,61.5
202301,61.8
202302,67.4
202303,69.1
202304,73.2
202305,76.2
202306,80.6
202307,84.1
202308,84.9
202309,80.5
202310,73.4
202311,66.7
202312,61.3
202401,58.7
202402,60.5
202403,68.4
202404,70.4
202405,79.7
202406,82.6
202407,84.2
202408,83.6
202409,81.5
202410,74.3
202411,70
202412,60.6
202501,53.7
202502,65.7
202503,65.5
202504,73.1
202505,79
202506,81.8
202507,83.7
202508,83
202509,80
202510,73.8
202511,65.4
202512,62.2
202601,57.9
202602,59
202603,69.3
