#  Georgia Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,44.4
201602,50
201603,60.9
201604,63.9
201605,70.8
201606,79.7
201607,82.8
201608,81.6
201609,77.5
201610,67.8
201611,58
201612,52.1
201701,53.2
201702,56.5
201703,58
201704,67.5
201705,71.4
201706,76.6
201707,80.6
201708,79.4
201709,74
201710,67
201711,56.4
201712,49.3
201801,42.5
201802,59.2
201803,54.5
201804,60.6
201805,73.7
201806,79.3
201807,80.2
201808,79.4
201809,79.8
201810,68.4
201811,53.2
201812,50.2
201901,48.2
201902,56.1
201903,56.3
201904,64.6
201905,75.7
201906,78.1
201907,81
201908,80.7
201909,79.1
201910,69.7
201911,52.8
201912,52.3
202001,51.4
202002,51.9
202003,63.1
202004,63.1
202005,69.4
202006,76.9
202007,81.5
202008,80.4
202009,74.3
202010,68.5
202011,60.4
202012,46.4
202101,47.7
202102,49.5
202103,59.9
202104,62.1
202105,69.4
202106,77
202107,79.3
202108,80
202109,73.8
202110,67.2
202111,52.7
202112,56.6
202201,45.9
202202,52.8
202203,59
202204,63
202205,73.2
202206,80.1
202207,81.2
202208,79.5
202209,74
202210,62.1
202211,57.5
202212,49.1
202301,51.5
202302,58.1
202303,59.4
202304,64.1
202305,69.6
202306,75.8
202307,81.6
202308,81.7
202309,74.6
202310,64.9
202311,55.7
202312,50.2
202401,46.1
202402,52.4
202403,59.2
202404,65.1
202405,73.5
202406,79.6
202407,82
202408,80.5
202409,75.4
202410,66.5
202411,61.4
202412,48.9
202501,41.2
202502,54
202503,58.2
202504,67.4
202505,72.6
202506,78.8
202507,82.8
202508,78
202509,74.6
202510,64.9
202511,56.9
202512,49.4
202601,46.4
202602,51
202603,62.2
