#  Hawaii Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,64.6
201602,64.1
201603,64.4
201604,66.1
201605,66.5
201606,67.9
201607,69.7
201608,70.2
201609,69.6
201610,68.2
201611,66.3
201612,64.2
201701,63.3
201702,63.4
201703,65.8
201704,65.9
201705,66.5
201706,68.7
201707,69.8
201708,70.3
201709,69.4
201710,68.6
201711,65.5
201712,62.7
201801,63.9
201802,63.6
201803,63.6
201804,66.2
201805,67
201806,68.3
201807,69.9
201808,70.6
201809,70.3
201810,69.2
201811,66.9
201812,65.2
201901,63.7
201902,61.6
201903,63
201904,66
201905,67.7
201906,69.6
201907,70.7
201908,71.7
201909,71.6
201910,69.9
201911,68.6
201912,66.8
202001,64.9
202002,63.2
202003,64.2
202004,65.9
202005,67.1
202006,68.8
202007,69.7
202008,70.3
202009,69.7
202010,69.3
202011,68
202012,66.2
202101,64.6
202102,63.1
202103,63.3
202104,63.7
202105,66.5
202106,67.8
202107,69.5
202108,68.9
202109,68.5
202110,67.9
202111,67.1
202112,64.5
202201,64
202202,64.1
202203,65.5
202204,66.1
202205,66.9
202206,67.4
202207,69
202208,69.3
202209,69.4
202210,69.2
202211,66.9
202212,65.4
202301,64.4
202302,63.8
202303,65.2
202304,65.1
202305,65.8
202306,67.2
202307,69.8
202308,69.6
202309,69.6
202310,68.6
202311,67.3
202312,64.9
202401,64.8
202402,62.3
202403,63.7
202404,65.4
202405,66.5
202406,68.2
202407,69.1
202408,69.9
202409,69.4
202410,68.7
202411,66.7
202412,66.2
202501,64.6
202502,64.4
202503,64.9
202504,65.9
202505,66.5
202506,68.3
202507,69.3
202508,70
202509,69.4
202510,68.5
202511,66.9
202512,65.7
202601,64.2
202602,63.2
202603,65
