#  Idaho Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,25.8
201602,31.9
201603,37
201604,47
201605,50.6
201606,61.2
201607,64.8
201608,64.7
201609,54.6
201610,45.7
201611,38.7
201612,19.1
201701,18.5
201702,29.5
201703,38.5
201704,40.3
201705,50.6
201706,59.1
201707,70
201708,66.9
201709,55.7
201710,41.9
201711,34.9
201712,25.2
201801,30.4
201802,26.2
201803,33.7
201804,42.4
201805,54
201806,57.7
201807,68.4
201808,65
201809,56.2
201810,44
201811,32
201812,24.3
201901,26.3
201902,23.2
201903,32.4
201904,42.9
201905,49.8
201906,57.2
201907,65.5
201908,66
201909,55
201910,36.6
201911,34.3
201912,26.6
202001,27.3
202002,26.2
202003,35.1
202004,41.6
202005,50.6
202006,56.2
202007,64.9
202008,67.1
202009,58.7
202010,45.4
202011,32.7
202012,26.2
202101,26.6
202102,25.4
202103,34.8
202104,42
202105,49.8
202106,65.1
202107,71.8
202108,63.9
202109,57.2
202110,45.2
202111,36.7
202112,26.5
202201,23.9
202202,24.5
202203,36.3
202204,37.2
202205,46.4
202206,57.3
202207,69.4
202208,69.4
202209,60.8
202210,48
202211,26.4
202212,22.8
202301,23.2
202302,23.6
202303,27.5
202304,38.6
202305,54.3
202306,57.2
202307,68.6
202308,65.8
202309,56.6
202310,45.9
202311,34.3
202312,29.6
202401,25.4
202402,30.5
202403,33.8
202404,42.3
202405,47
202406,60.2
202407,69.4
202408,65.5
202409,59.4
202410,48.3
202411,31.6
202412,30.2
202501,22.2
202502,26.2
202503,36.5
202504,42.5
202505,52.3
202506,60.5
202507,67.8
202508,66.5
202509,60.7
202510,44
202511,39
202512,33.6
202601,28.5
202602,34
202603,41.4
