#  Illinois Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,26.9
201602,33.8
201603,47.3
201604,53
201605,62
201606,74.8
201607,75.6
201608,75.7
201609,70.8
201610,59.9
201611,48.1
201612,28.9
201701,32.1
201702,41.1
201703,43.2
201704,56.5
201705,61.9
201706,72.7
201707,76.1
201708,70.5
201709,68.8
201710,58.1
201711,41.9
201712,29.8
201801,24.1
201802,31.8
201803,39.2
201804,44.8
201805,70.7
201806,74.9
201807,75
201808,74.7
201809,70.3
201810,54.2
201811,35.6
201812,34.4
201901,25.4
201902,29.3
201903,37.3
201904,52.5
201905,62.5
201906,70.9
201907,77.4
201908,72.8
201909,71.6
201910,53.7
201911,36.2
201912,35.6
202001,31.8
202002,31.9
202003,44.4
202004,49.6
202005,60.6
202006,73.6
202007,77.3
202008,72.8
202009,65.6
202010,52
202011,47.1
202012,33
202101,29.5
202102,20.8
202103,46.2
202104,52.5
202105,61.1
202106,74.1
202107,74.6
202108,75.5
202109,69.6
202110,60.2
202111,40.9
202112,40.2
202201,22.2
202202,28
202203,43.1
202204,49.6
202205,65.3
202206,73.5
202207,75.8
202208,73.6
202209,67
202210,53.3
202211,43
202212,30.3
202301,34.4
202302,36.3
202303,40.9
202304,53.4
202305,64.2
202306,71.5
202307,75.3
202308,73.5
202309,68.3
202310,56.6
202311,42.9
202312,39.6
202401,26.5
202402,40.7
202403,46.9
202404,54.7
202405,67
202406,74.5
202407,74
202408,73.7
202409,68.7
202410,58.6
202411,46.6
202412,34
202501,23
202502,29.3
202503,47.6
202504,53.9
202505,61.8
202506,74.2
202507,78.3
202508,73
202509,69.2
202510,59.6
202511,43.8
202512,29.8
202601,24.3
202602,34.6
202603,48.6
