#  Indiana Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,27.5
201602,33.9
201603,47.3
201604,52
201605,60.6
201606,72.9
201607,74.6
201608,75.7
201609,69.9
201610,59.5
201611,47
201612,29.8
201701,33.8
201702,41.3
201703,42.6
201704,57
201705,60.9
201706,71.1
201707,74.2
201708,70
201709,67.2
201710,57.6
201711,42.4
201712,29.6
201801,24.5
201802,35.1
201803,38.2
201804,45.1
201805,69.7
201806,73.4
201807,74.1
201808,74
201809,69.9
201810,54.9
201811,36.8
201812,35.4
201901,27
201902,32.3
201903,37.2
201904,52.2
201905,62.6
201906,69.9
201907,76.3
201908,72.3
201909,70.8
201910,55.5
201911,36.5
201912,36.2
202001,34.3
202002,32.8
202003,44.6
202004,48.9
202005,59.7
202006,72.1
202007,76.5
202008,72
202009,65.2
202010,53.1
202011,46.7
202012,33.6
202101,30.5
202102,23.7
202103,45.8
202104,51.9
202105,59.6
202106,72.7
202107,73.7
202108,75
202109,68.4
202110,60.2
202111,40
202112,40.5
202201,24.3
202202,29.8
202203,43.7
202204,49.3
202205,64.9
202206,72.1
202207,75.3
202208,73
202209,66.1
202210,52.8
202211,43.1
202212,31.7
202301,36.4
202302,38.3
202303,40.9
202304,52.7
202305,62
202306,69.2
202307,74.2
202308,71.8
202309,67.1
202310,56.4
202311,43
202312,39.9
202401,27.7
202402,39.6
202403,46.3
202404,54.8
202405,66.6
202406,72.8
202407,73.2
202408,73.1
202409,68.4
202410,57.7
202411,47.4
202412,34.6
202501,22.6
202502,30.6
202503,46.5
202504,52.9
202505,60.7
202506,73.3
202507,77.6
202508,71.4
202509,67.6
202510,57.4
202511,42.2
202512,30.2
202601,24
202602,32
202603,48.5
