#  Iowa Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,19.6
201602,28.6
201603,42.4
201604,50.1
201605,59.5
201606,73
201607,72.8
201608,72
201609,67.3
201610,55.3
201611,45.1
201612,22.9
201701,24.2
201702,34.5
201703,37.5
201704,51.1
201705,58.5
201706,71.1
201707,74.7
201708,67.8
201709,66.7
201710,53.3
201711,36.2
201712,24.4
201801,17.8
201802,20.5
201803,35.2
201804,39.3
201805,67
201806,73.1
201807,73.1
201808,71.8
201809,65.9
201810,48.2
201811,30
201812,28
201901,18.7
201902,15.3
201903,31.1
201904,49.2
201905,56.6
201906,69.3
201907,75.1
201908,69.6
201909,68.2
201910,47.1
201911,32.4
201912,29.2
202001,23.1
202002,24.9
202003,40.3
202004,46.7
202005,57.6
202006,72.9
202007,75.3
202008,71.9
202009,61.9
202010,46
202011,42
202012,27.2
202101,23.9
202102,12.5
202103,42.3
202104,49.3
202105,59
202106,73.5
202107,73.4
202108,72.9
202109,66.6
202110,55.5
202111,39.2
202112,31.9
202201,14.9
202202,21.3
202203,37.1
202204,43.8
202205,61.3
202206,71.6
202207,74.2
202208,72
202209,65.1
202210,50.4
202211,37.1
202212,21.3
202301,24.2
202302,26.2
202303,34
202304,49.3
202305,62.7
202306,71.3
202307,72
202308,72.5
202309,67.2
202310,53.4
202311,38.9
202312,34.5
202401,20.1
202402,37
202403,40.6
202404,50.8
202405,62
202406,72
202407,72.2
202408,71.1
202409,66.7
202410,56.7
202411,40.5
202412,28.2
202501,18.8
202502,20.7
202503,42.6
202504,49.9
202505,59.6
202506,72.1
202507,74.9
202508,70.6
202509,66.9
202510,56.9
202511,39.6
202512,23.7
202601,19.3
202602,31.8
202603,42.6
