#  Kansas Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,32
201602,40.8
201603,49.7
201604,56.3
201605,61.6
201606,77.5
201607,79.7
201608,76.4
201609,70.8
201610,61.5
201611,49.9
201612,29.8
201701,33
201702,43.1
201703,48.9
201704,55.6
201705,62.2
201706,75.1
201707,80.1
201708,73.1
201709,70.5
201710,57.6
201711,45.2
201712,33.6
201801,29.9
201802,31.9
201803,45.9
201804,47.6
201805,71.1
201806,78.2
201807,78.7
201808,75.7
201809,70.1
201810,53.6
201811,38.2
201812,34.3
201901,31.3
201902,27.9
201903,39.4
201904,55.4
201905,60.5
201906,72.4
201907,78.6
201908,77.1
201909,75.2
201910,51.1
201911,40.2
201912,36.7
202001,34
202002,34.9
202003,47.9
202004,52.7
202005,61.7
202006,77.7
202007,79.2
202008,76.4
202009,66.3
202010,52.6
202011,48.1
202012,35.9
202101,34
202102,24.1
202103,48.1
202104,52.5
202105,61.9
202106,75.8
202107,77.7
202108,79.1
202109,73.3
202110,59.1
202111,46.7
202112,41.1
202201,29.8
202202,31.8
202203,44
202204,54.1
202205,64.6
202206,75.8
202207,81.1
202208,79.2
202209,72
202210,57.7
202211,41.1
202212,30.6
202301,33.1
202302,35.2
202303,42.1
202304,54.6
202305,65.8
202306,73.4
202307,78.3
202308,78.8
202309,72.4
202310,58
202311,45.2
202312,39.2
202401,25.9
202402,43.8
202403,47
202404,57.2
202405,65.4
202406,77.3
202407,78.1
202408,77.8
202409,71.2
202410,62.5
202411,46.4
202412,38
202501,25.7
202502,29.5
202503,50.8
202504,56
202505,62.4
202506,74.7
202507,79.5
202508,76
202509,70.2
202510,61.5
202511,47.5
202512,38.2
202601,31.6
202602,43.8
202603,53
