#  Kentucky Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,31.6
201602,38.9
201603,51.8
201604,57.3
201605,62.9
201606,74.9
201607,77.9
201608,78
201609,72.2
201610,62.7
201611,49.9
201612,37
201701,40.9
201702,46.2
201703,47.9
201704,61.5
201705,65
201706,71.7
201707,76.9
201708,73.1
201709,68.3
201710,59.4
201711,47.1
201712,35.8
201801,30
201802,44.6
201803,44.1
201804,50.7
201805,71.8
201806,75.5
201807,76.6
201808,75.8
201809,73.1
201810,58.9
201811,41.9
201812,40.5
201901,35.1
201902,42.3
201903,43.1
201904,57.8
201905,68.4
201906,71.9
201907,77.4
201908,75.6
201909,74.8
201910,60
201911,41.2
201912,42.1
202001,40.2
202002,39.7
202003,51.4
202004,52.8
202005,62.2
202006,72.6
202007,78.7
202008,74.8
202009,68.3
202010,57.8
202011,49.9
202012,37.3
202101,35.7
202102,32.3
202103,50.4
202104,54.6
202105,62.4
202106,73.4
202107,75.8
202108,76.6
202109,68.9
202110,62.4
202111,43.4
202112,47.6
202201,31.3
202202,38.4
202203,49.1
202204,54.4
202205,67.5
202206,74
202207,78.2
202208,75.3
202209,68.1
202210,55
202211,46.8
202212,37.8
202301,42.4
202302,45.7
202303,47.3
202304,56.8
202305,64.1
202306,70.3
202307,76.8
202308,74.8
202309,69.6
202310,59.3
202311,47.4
202312,42.6
202401,33
202402,45.2
202403,50.6
202404,59.3
202405,68.3
202406,74.4
202407,77
202408,75.5
202409,70.8
202410,59.9
202411,52
202412,40.2
202501,28.6
202502,38.9
202503,50.9
202504,58.8
202505,64.2
202506,75.2
202507,79.8
202508,74.2
202509,70.2
202510,59.3
202511,47.3
202512,38.1
202601,31.1
202602,38
202603,54.8
