#  Louisiana Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,48.8
201602,55.1
201603,63.8
201604,68.2
201605,73.3
201606,80.9
201607,83.7
201608,82.4
201609,80.2
201610,71.4
201611,62.4
201612,54.7
201701,56.8
201702,61.7
201703,64.4
201704,69.4
201705,71.8
201706,78.5
201707,82.4
201708,81
201709,77
201710,69.2
201711,61.6
201712,50.8
201801,44.2
201802,60.5
201803,62.2
201804,62.7
201805,77.8
201806,82.1
201807,83.5
201808,82
201809,80.2
201810,70.7
201811,54.8
201812,52.6
201901,49.9
201902,57.6
201903,58.2
201904,65.2
201905,76
201906,80.2
201907,81.8
201908,83.5
201909,82.2
201910,69.1
201911,54.7
201912,54.1
202001,53.7
202002,54
202003,67.3
202004,66.6
202005,73
202006,79.7
202007,82.8
202008,82.2
202009,77.6
202010,68.2
202011,61.9
202012,50.9
202101,50.6
202102,47.8
202103,62.2
202104,64.7
202105,72.3
202106,80.4
202107,81.8
202108,82.6
202109,76.9
202110,71.7
202111,56.4
202112,62.4
202201,48.2
202202,51.3
202203,58.9
202204,67.4
202205,77
202206,82.7
202207,83.9
202208,81.8
202209,77.3
202210,66.2
202211,58.2
202212,54.1
202301,56
202302,58.4
202303,63.6
202304,66.1
202305,74.9
202306,82
202307,84.9
202308,87.9
202309,80.7
202310,69.7
202311,58.2
202312,53.2
202401,47.2
202402,57.8
202403,61.8
202404,69
202405,77.2
202406,81.5
202407,82.7
202408,84.2
202409,78
202410,70.7
202411,66
202412,55.4
202501,45.6
202502,56
202503,63.2
202504,70.7
202505,74.7
202506,81.2
202507,83.5
202508,82.4
202509,78.8
202510,71
202511,61.9
202512,53.8
202601,50.1
202602,58.1
202603,66.2
