#  Maine Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,20.1
201602,21.9
201603,29.2
201604,37.3
201605,52.8
201606,60.5
201607,67
201608,66.6
201609,59.1
201610,46.9
201611,37.2
201612,20.5
201701,21.5
201702,20.6
201703,22.2
201704,42
201705,50.7
201706,61
201707,65.2
201708,63.3
201709,61.1
201710,52
201711,32.4
201712,16.4
201801,15
201802,22.7
201803,28.9
201804,36.5
201805,53.5
201806,59
201807,68.8
201808,68
201809,57.9
201810,41.9
201811,28.6
201812,20.4
201901,14.1
201902,16.3
201903,24.7
201904,38.8
201905,48.1
201906,59.5
201907,68.3
201908,64.5
201909,55.3
201910,46.1
201911,29.6
201912,22.8
202001,20.8
202002,20.1
202003,29.6
202004,37.7
202005,51.2
202006,62.5
202007,68.9
202008,65.6
202009,56.8
202010,44.7
202011,37
202012,27.2
202101,21.4
202102,18.5
202103,29.4
202104,43.2
202105,52.4
202106,64.9
202107,63.7
202108,68.2
202109,59
202110,50.2
202111,35.3
202112,24.5
202201,10.8
202202,19.2
202203,29
202204,40.6
202205,54.4
202206,60.1
202207,67.8
202208,67.3
202209,57.2
202210,49.2
202211,37.4
202212,27.6
202301,24.1
202302,18.2
202303,30.2
202304,41.7
202305,51.3
202306,59.9
202307,69.9
202308,63.4
202309,60.9
202310,51.6
202311,31.7
202312,28.9
202401,20.3
202402,23.8
202403,32.4
202404,40.8
202405,55.2
202406,63.9
202407,69.6
202408,65.6
202409,59.2
202410,47.7
202411,38.8
202412,23
202501,16.2
202502,16
202503,30.4
202504,40.3
202505,52.4
202506,61.7
202507,68.3
202508,64.9
202509,58
202510,48.4
202511,33.8
202512,17.4
202601,14.6
202602,16.6
202603,28.9
