#  Maryland Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,32.1
201602,36.9
201603,49.4
201604,53.1
201605,60.9
201606,72.2
201607,78.4
201608,78
201609,71.5
201610,59.4
201611,47.7
201612,38
201701,38.3
201702,43.7
201703,43.1
201704,59.5
201705,62.2
201706,72.6
201707,77.4
201708,72.8
201709,68.3
201710,61.2
201711,45.8
201712,35.3
201801,31
201802,41.6
201803,39.3
201804,50.7
201805,68.8
201806,72.1
201807,76.2
201808,77.1
201809,72.7
201810,59
201811,43.4
201812,39.2
201901,34
201902,37.6
201903,42.1
201904,57.8
201905,67.3
201906,72.5
201907,78.6
201908,75.6
201909,71.4
201910,60.3
201911,42.6
201912,38.9
202001,39.1
202002,41
202003,49.3
202004,51.6
202005,60.5
202006,72.7
202007,80.1
202008,76.6
202009,67.3
202010,59
202011,50.9
202012,38.3
202101,35.4
202102,34.2
202103,47.2
202104,55
202105,62.2
202106,73.1
202107,77.2
202108,77.1
202109,69.6
202110,62.9
202111,44.4
202112,43.8
202201,30.9
202202,38.4
202203,46.7
202204,53.1
202205,64.6
202206,72.1
202207,77.7
202208,76.7
202209,68.5
202210,54.6
202211,48.8
202212,36.5
202301,42.1
202302,42.8
202303,45.1
202304,58
202305,60.9
202306,69.2
202307,78.1
202308,75
202309,69.3
202310,59.4
202311,45.2
202312,42.5
202401,36.6
202402,40.2
202403,48.2
202404,56.6
202405,65.9
202406,74.6
202407,79
202408,75
202409,68.4
202410,58.1
202411,50.2
202412,37.5
202501,29.1
202502,36.6
202503,49.2
202504,56.7
202505,64.6
202506,74.3
202507,79.5
202508,71.6
202509,68.7
202510,56.9
202511,46.2
202512,34.4
202601,30.1
202602,32.9
202603,49.2
