#  Massachusetts Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,28.5
201602,30.9
201603,41
201604,45
201605,57.2
201606,66.1
201607,72.6
201608,72.5
201609,64.6
201610,52.2
201611,42.2
201612,31
201701,31.5
201702,33
201703,31.5
201704,50.2
201705,55.2
201706,66
201707,70
201708,68
201709,65.1
201710,57.5
201711,40.3
201712,26.6
201801,24.5
201802,34.3
201803,34.8
201804,42.3
201805,60.8
201806,64.8
201807,73.3
201808,73.5
201809,65.2
201810,50.3
201811,37.8
201812,32.1
201901,25.9
201902,28.5
201903,33.7
201904,47.7
201905,55.3
201906,65.5
201907,73.8
201908,69.8
201909,62
201910,52.4
201911,37.4
201912,30.5
202001,32
202002,32.4
202003,40.2
202004,43.1
202005,56.2
202006,67.6
202007,74.6
202008,71.7
202009,62.8
202010,52.4
202011,44.7
202012,33.1
202101,28.8
202102,27.6
202103,38.3
202104,47.8
202105,57.6
202106,69.2
202107,69.8
202108,72.7
202109,64.8
202110,56.3
202111,40.8
202112,36
202201,23.5
202202,29.9
202203,38.1
202204,47
202205,59.8
202206,65.6
202207,73.3
202208,73.9
202209,62.4
202210,52.4
202211,44.6
202212,33.1
202301,35.3
202302,32.2
202303,37.6
202304,49.8
202305,56.3
202306,64.5
202307,73.9
202308,68.5
202309,64.6
202310,56
202311,38.7
202312,37.8
202401,30.1
202402,32.8
202403,40.5
202404,47.2
202405,59.9
202406,68.9
202407,74.4
202408,69.4
202409,63
202410,52.6
202411,44.8
202412,30.7
202501,24.7
202502,26.8
202503,39.8
202504,48
202505,58.2
202506,68
202507,73.7
202508,67.4
202509,62.9
202510,52.4
202511,39.5
202512,27.2
202601,23.2
202602,23.4
202603,38
