#  Michigan Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,22.3
201602,25.3
201603,36.1
201604,40.8
201605,55.4
201606,64.7
201607,70.3
201608,70.8
201609,63.5
201610,51.6
201611,42.6
201612,25
201701,25.2
201702,29.9
201703,30.7
201704,47.2
201705,53
201706,65.3
201707,68.5
201708,65.2
201709,62.6
201710,52.5
201711,34.5
201712,20.9
201801,20
201802,23
201803,29.6
201804,35.2
201805,60.2
201806,65.2
201807,70.5
201808,69.8
201809,62.4
201810,45.9
201811,30.8
201812,28.7
201901,16.8
201902,19.9
201903,27.5
201904,42.5
201905,51.8
201906,62.5
201907,70.9
201908,66.3
201909,62.3
201910,47.5
201911,30.8
201912,28.4
202001,27
202002,23.7
202003,35
202004,40.2
202005,53.2
202006,66
202007,72.5
202008,68.6
202009,58.2
202010,44.4
202011,41.1
202012,28.6
202101,25
202102,17.4
202103,36.8
202104,45.1
202105,54
202106,67.8
202107,68.7
202108,71
202109,61.4
202110,55.2
202111,36.3
202112,30.1
202201,15.4
202202,19.5
202203,31
202204,40.2
202205,57.6
202206,65
202207,69.2
202208,68.2
202209,60.9
202210,48.3
202211,38.6
202212,26.9
202301,28.2
202302,26.5
202303,31.4
202304,44.9
202305,55
202306,64.8
202307,68.5
202308,65.7
202309,62.1
202310,50.6
202311,36.3
202312,35.1
202401,24.5
202402,31.9
202403,36.5
202404,46.4
202405,58.2
202406,66.1
202407,68.9
202408,67.9
202409,63.9
202410,52.2
202411,41.4
202412,27.9
202501,18.8
202502,20.9
202503,35.5
202504,43.1
202505,53.6
202506,66.4
202507,70.7
202508,66.9
202509,61.8
202510,51.8
202511,36.3
202512,22.7
202601,16.9
202602,23.7
202603,34.1
