#  Minnesota Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,12.6
201602,19.9
201603,35.7
201604,42.5
201605,56.7
201606,65.6
201607,69.3
201608,68.1
201609,60.7
201610,48.2
201611,40.2
201612,15.3
201701,14.6
201702,23.9
201703,28.2
201704,44.4
201705,53.6
201706,65
201707,69.2
201708,64
201709,60.8
201710,47.1
201711,27.4
201712,13.4
201801,10.4
201802,8.6
201803,27.5
201804,32.7
201805,61.1
201806,67
201807,69.7
201808,67.4
201809,59
201810,40.7
201811,22.8
201812,20.2
201901,6.6
201902,5.3
201903,22.6
201904,41.4
201905,50.5
201906,64.4
201907,70.4
201908,65.2
201909,60.2
201910,42.4
201911,26
201912,16.6
202001,14.1
202002,14
202003,30.4
202004,39.4
202005,53.5
202006,67.7
202007,71.3
202008,68.2
202009,56.5
202010,38.9
202011,33.9
202012,21
202101,18.2
202102,6.5
202103,35.6
202104,42.3
202105,55.1
202106,69.9
202107,71.1
202108,69.4
202109,61.6
202110,51.5
202111,32.2
202112,18.2
202201,3.6
202202,6.5
202203,26.1
202204,35.6
202205,55.3
202206,66.2
202207,69.7
202208,67.3
202209,60.3
202210,46.9
202211,30
202212,12.5
202301,15.1
202302,14.1
202303,21.2
202304,38.3
202305,59.3
202306,68.9
202307,67.3
202308,67.9
202309,63.5
202310,47.5
202311,32.4
202312,29.6
202401,15.5
202402,28.3
202403,30.6
202404,44.5
202405,56.4
202406,64.4
202407,69.8
202408,67.2
202409,65.2
202410,51.3
202411,33.8
202412,19.6
202501,10
202502,11.1
202503,32.9
202504,42.2
202505,57.1
202506,65.2
202507,69.8
202508,67.1
202509,62.5
202510,51.2
202511,33.7
202512,13.4
202601,8.4
202602,21.7
202603,31.1
