#  Mississippi Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,43.7
201602,50.9
201603,60.2
201604,65.2
201605,70.5
201606,80.2
201607,82.4
201608,82
201609,79
201610,69.2
201611,58.2
201612,49.4
201701,52.9
201702,57.1
201703,60.1
201704,67.3
201705,70.1
201706,76.7
201707,81.2
201708,79.3
201709,74.5
201710,66.2
201711,56.8
201712,47.1
201801,40.1
201802,56.9
201803,57.1
201804,58.9
201805,75.8
201806,80.6
201807,81.8
201808,80.3
201809,78.9
201810,67.4
201811,50.5
201812,49
201901,46.3
201902,55
201903,54.7
201904,63.1
201905,74.3
201906,78.3
201907,80.8
201908,81.4
201909,81.2
201910,66.6
201911,50.3
201912,50.7
202001,50.1
202002,51.1
202003,64.1
202004,62.9
202005,70.3
202006,78.1
202007,82.1
202008,80.2
202009,75.3
202010,65.8
202011,58.4
202012,47
202101,46.6
202102,44.2
202103,60
202104,61.8
202105,69.9
202106,78.1
202107,80.4
202108,80.8
202109,74.8
202110,68.3
202111,52.7
202112,58.6
202201,44.2
202202,48.7
202203,57.1
202204,64
202205,75
202206,81.2
202207,82.9
202208,80.2
202209,74.8
202210,62.8
202211,55
202212,50.1
202301,52.4
202302,55.6
202303,59.6
202304,63.9
202305,72.5
202306,79.3
202307,82.9
202308,84.6
202309,77.8
202310,66.8
202311,55.5
202312,50
202401,42.7
202402,54.4
202403,58.4
202404,65.7
202405,75.5
202406,80.2
202407,82.3
202408,82.1
202409,76.1
202410,67.6
202411,62.6
202412,50.4
202501,40.9
202502,52.3
202503,60.3
202504,68.5
202505,72.7
202506,80.1
202507,83.4
202508,80.5
202509,77.4
202510,67.9
202511,58.2
202512,49.4
202601,45.6
202602,53.2
202603,64.4
