#  Missouri Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,30.9
201602,39.1
201603,50.4
201604,57.3
201605,62.7
201606,76.9
201607,78.1
201608,76.7
201609,71.7
201610,62.1
201611,51
201612,32.4
201701,35.4
201702,45.1
201703,48.4
201704,58.5
201705,64.1
201706,73.5
201707,78.8
201708,72.1
201709,70.4
201710,59
201711,46.2
201712,34.3
201801,28
201802,35.6
201803,44
201804,48.2
201805,72.5
201806,77.4
201807,78.2
201808,76.4
201809,71.3
201810,56.4
201811,37.6
201812,36.8
201901,31
201902,33
201903,40.9
201904,56.7
201905,64.5
201906,72.4
201907,77.6
201908,75.3
201909,74.8
201910,54.3
201911,40.2
201912,39
202001,34.5
202002,35.4
202003,48.8
202004,53.1
202005,62
202006,75.1
202007,79.2
202008,74.2
202009,67.3
202010,53.6
202011,49.6
202012,36.3
202101,33.6
202102,24.4
202103,49.9
202104,54.2
202105,62.3
202106,74.9
202107,76.7
202108,77.4
202109,71.5
202110,60.5
202111,45.5
202112,44.7
202201,28.4
202202,32.5
202203,46.1
202204,53
202205,65.9
202206,75.3
202207,79.8
202208,76.4
202209,69.5
202210,56
202211,44.3
202212,33.1
202301,37.2
202302,39.9
202303,43.8
202304,56.2
202305,66.1
202306,73.9
202307,77.9
202308,76.5
202309,70.4
202310,58.8
202311,46.2
202312,41.9
202401,27.8
202402,45.3
202403,49.9
202404,58.6
202405,68
202406,75.8
202407,76.1
202408,75.8
202409,69.8
202410,61.3
202411,48.8
202412,37.8
202501,26.8
202502,32.1
202503,51.4
202504,57.2
202505,63.3
202506,74.9
202507,79.5
202508,75
202509,71.3
202510,61.8
202511,48
202512,36.4
202601,29.5
202602,41
202603,53.1
