#  Montana Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,23.4
201602,33.6
201603,37.4
201604,45
201605,51
201606,62.4
201607,65.9
201608,64.4
201609,54.8
201610,44.3
201611,39.1
201612,14.2
201701,15.2
201702,25.4
201703,35.8
201704,42.1
201705,52.3
201706,60.6
201707,71.6
201708,65.5
201709,55.2
201710,42.6
201711,30.7
201712,21.1
201801,21.7
201802,11.4
201803,28.3
201804,37.9
201805,55.7
201806,59.2
201807,66.8
201808,64.5
201809,53
201810,41.6
201811,30.2
201812,25
201901,24.7
201902,5.1
201903,25.2
201904,41.9
201905,47.7
201906,58.6
201907,65
201908,64.8
201909,55
201910,35.4
201911,29.3
201912,25.8
202001,23.4
202002,25.6
202003,31.6
202004,38.3
202005,50.6
202006,59.3
202007,65.6
202008,67.4
202009,57
202010,39.3
202011,32.8
202012,28.5
202101,26.7
202102,13.7
202103,36.1
202104,40.5
202105,48.6
202106,65.3
202107,72.5
202108,64.7
202109,58.3
202110,45.6
202111,36.3
202112,19.3
202201,22.9
202202,22.6
202203,33.5
202204,35.2
202205,48.5
202206,58.5
202207,69
202208,69.7
202209,60.6
202210,47.1
202211,22.7
202212,14.6
202301,22.9
202302,23.3
202303,23.3
202304,39.2
202305,56.3
202306,60.4
202307,67.4
202308,66.8
202309,58.5
202310,42.3
202311,34.5
202312,31.3
202401,17.8
202402,28.1
202403,30.8
202404,43.5
202405,48.8
202406,58.9
202407,69.4
202408,65.8
202409,61.1
202410,48.4
202411,30.6
202412,28.8
202501,19.1
202502,13.3
202503,37.3
202504,42.1
202505,53.5
202506,60.2
202507,66.9
202508,66.2
202509,61.1
202510,44.4
202511,35.8
202512,27.8
202601,26.5
202602,31.9
202603,37.8
