#  Nevada Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,31.1
201602,38
201603,44.2
201604,50.1
201605,55.1
201606,69.7
201607,73.7
201608,72.1
201609,62.3
201610,53.2
201611,43.2
201612,30.5
201701,29.1
201702,38.1
201703,45.7
201704,47.1
201705,57.1
201706,68.6
201707,76.2
201708,73.5
201709,61.6
201710,50.4
201711,44.4
201712,34.8
201801,38.5
201802,33.7
201803,39.5
201804,50
201805,57.7
201806,67.8
201807,77
201808,73.2
201809,65
201810,50.3
201811,39.4
201812,32
201901,34.1
201902,30
201903,40.1
201904,50.1
201905,51.7
201906,64.3
201907,72.8
201908,73.1
201909,61.7
201910,45.6
201911,41.8
201912,33.2
202001,35.3
202002,36.3
202003,40.5
202004,48.8
202005,58.8
202006,65
202007,74.2
202008,75.6
202009,66.6
202010,55.3
202011,40.5
202012,32.4
202101,33.7
202102,35.6
202103,39.2
202104,49.3
202105,57.2
202106,72.6
202107,77.8
202108,72.4
202109,65.5
202110,49.6
202111,45.2
202112,32.4
202201,34.2
202202,34.6
202203,43.3
202204,47.3
202205,54.5
202206,66.9
202207,76.3
202208,74.4
202209,67.6
202210,54.3
202211,34.3
202212,31.7
202301,29.2
202302,30.8
202303,33.6
202304,46.6
202305,57.3
202306,61.9
202307,76.3
202308,71
202309,62
202310,52.3
202311,40.6
202312,37
202401,34.3
202402,36.3
202403,39.9
202404,48.3
202405,55.3
202406,70.8
202407,77.2
202408,72.4
202409,65.8
202410,56.1
202411,37
202412,37.6
202501,31.5
202502,38.2
202503,41.8
202504,49
202505,59
202506,68.8
202507,73.6
202508,72.9
202509,65.1
202510,51.5
202511,46.2
202512,41.2
202601,36.4
202602,40.6
202603,52.4
