#  New Hampshire Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,22.9
201602,25.6
201603,35.2
201604,40.2
201605,54.8
201606,62.6
201607,68.5
201608,68.2
201609,60.5
201610,48
201611,37.9
201612,24.4
201701,25.7
201702,26.7
201703,25.3
201704,45.8
201705,52.2
201706,62.6
201707,66.5
201708,64.1
201709,62.2
201710,53.9
201711,34.6
201712,19.6
201801,18.3
201802,27
201803,30.3
201804,38
201805,57.3
201806,61.4
201807,69.9
201808,69.2
201809,61.1
201810,45
201811,31.2
201812,24.7
201901,18
201902,21
201903,27.4
201904,42.4
201905,51.3
201906,61.6
201907,70
201908,65.7
201909,57.5
201910,47.9
201911,31.5
201912,24.7
202001,25.2
202002,24.2
202003,34.2
202004,39.6
202005,53.4
202006,64
202007,71.1
202008,66.5
202009,58.5
202010,47
202011,38.5
202012,28
202101,23
202102,20.6
202103,32.4
202104,44
202105,54.5
202106,66.1
202107,65.6
202108,69.2
202109,60.5
202110,52.1
202111,35.9
202112,28.9
202201,14.7
202202,23.5
202203,32
202204,42.6
202205,57.2
202206,61.8
202207,68.7
202208,69.8
202209,58.2
202210,48.7
202211,39.5
202212,28.3
202301,29
202302,24.2
202303,32.3
202304,45
202305,52.9
202306,61.9
202307,70.5
202308,64.5
202309,61.7
202310,52.3
202311,33.7
202312,32.4
202401,24.7
202402,27.4
202403,35.2
202404,43.1
202405,57.4
202406,65.6
202407,71.4
202408,65.9
202409,59.9
202410,48.3
202411,40
202412,24.8
202501,18.4
202502,19.3
202503,33.7
202504,43.5
202505,54.7
202506,64.2
202507,70.3
202508,65.4
202509,59.8
202510,49.1
202511,34.8
202512,20.4
202601,17.4
202602,17.9
202603,33
