#  New Jersey Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,31.4
201602,36
201603,47
201604,50.7
201605,60.2
201606,70.6
201607,77.2
201608,76.9
201609,69.7
201610,56.7
201611,46.7
201612,36.3
201701,36.2
201702,40.4
201703,38.9
201704,55.9
201705,60
201706,70.4
201707,75.5
201708,71.6
201709,68.2
201710,60.4
201711,44.4
201712,33.2
201801,29.2
201802,39.4
201803,38.3
201804,48
201805,65.2
201806,70.1
201807,76.2
201808,76.8
201809,70.2
201810,56.4
201811,42.5
201812,37.8
201901,31.6
201902,34.7
201903,39.4
201904,54.8
201905,62.8
201906,70.6
201907,78
201908,74.5
201909,69
201910,58.2
201911,41.3
201912,36.4
202001,37.3
202002,39.1
202003,46.3
202004,48.7
202005,59.1
202006,71.5
202007,78.8
202008,75.5
202009,66.8
202010,57
202011,49.2
202012,37
202101,33.7
202102,32
202103,44
202104,52.6
202105,60.8
202106,71.8
202107,75.7
202108,75.9
202109,68.7
202110,61
202111,43.6
202112,41.2
202201,28.6
202202,35.6
202203,43.9
202204,51.1
202205,63.2
202206,69.9
202207,77.9
202208,77.2
202209,67.6
202210,54
202211,47.6
202212,35.5
202301,41.2
202302,39.1
202303,42.3
202304,55.4
202305,59.3
202306,67.8
202307,77.2
202308,73.2
202309,68
202310,58.4
202311,43.3
202312,41.5
202401,34.6
202402,37.4
202403,46
202404,52.6
202405,63.7
202406,73.4
202407,77.8
202408,73.8
202409,66.8
202410,57.4
202411,49
202412,35
202501,28.4
202502,33.7
202503,45.8
202504,53.3
202505,62
202506,71.9
202507,78.2
202508,70.8
202509,68
202510,56.1
202511,44.8
202512,31.9
202601,27.8
202602,29.3
202603,45.1
