#  New York Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,23.7
201602,26.7
201603,37.7
201604,41.3
201605,55.8
201606,64.1
201607,70.4
201608,70.9
201609,62.9
201610,50.5
201611,40.2
201612,27.6
201701,27.9
201702,30.6
201703,28.2
201704,48.8
201705,54
201706,64
201707,68.1
201708,65.6
201709,62.3
201710,54.8
201711,36.2
201712,22.6
201801,19.1
201802,29.4
201803,29.9
201804,37.8
201805,60
201806,63.4
201807,71.2
201808,70.4
201809,63.6
201810,47.7
201811,33.3
201812,28.5
201901,19.4
201902,24.2
201903,29.5
201904,44.5
201905,54.2
201906,62.9
201907,71
201908,66.6
201909,60.3
201910,50.2
201911,32.8
201912,27.3
202001,27.7
202002,26.6
202003,37.2
202004,41.1
202005,54.2
202006,65.2
202007,72.9
202008,68.6
202009,59.6
202010,49
202011,41.9
202012,29.8
202101,24
202102,21.7
202103,35
202104,45.7
202105,54.7
202106,67.1
202107,67.7
202108,70.4
202109,61.7
202110,54.8
202111,37
202112,32.8
202201,15.8
202202,23.8
202203,33.8
202204,43.8
202205,58.6
202206,63.8
202207,69.7
202208,70
202209,60.5
202210,48.9
202211,41
202212,29
202301,30.6
202302,28.1
202303,32.6
202304,48
202305,53.9
202306,63.1
202307,70.7
202308,65.8
202309,61.7
202310,53
202311,36.1
202312,35
202401,26.6
202402,30.4
202403,37.5
202404,45.9
202405,60
202406,66.5
202407,71.2
202408,67.3
202409,62.3
202410,50.6
202411,41.6
202412,27
202501,20.1
202502,22.3
202503,37
202504,45.1
202505,55.2
202506,66.6
202507,71.9
202508,66
202509,61.3
202510,49.9
202511,36.2
202512,22.7
202601,18.9
202602,20.1
202603,35.7
