#  North Carolina Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,38.4
201602,43.2
201603,56.2
201604,58.7
201605,65.8
201606,75.3
201607,80.1
201608,79.2
201609,74.3
201610,63.2
201611,51.7
201612,44
201701,45.4
201702,50.7
201703,50
201704,63.9
201705,67.7
201706,73.8
201707,78.7
201708,75.8
201709,70.5
201710,62.8
201711,50.3
201712,42.4
201801,35.9
201802,51.9
201803,46.3
201804,56.1
201805,71.6
201806,76.8
201807,77.2
201808,77.3
201809,76.2
201810,62.5
201811,48.4
201812,45
201901,42
201902,48.1
201903,48.8
201904,61.1
201905,72.2
201906,74.2
201907,79
201908,77
201909,74.9
201910,64.6
201911,47.4
201912,46.6
202001,46
202002,47
202003,55.9
202004,57.4
202005,63.6
202006,73.2
202007,79.6
202008,77.5
202009,69.7
202010,63
202011,54.8
202012,42.2
202101,40.8
202102,42.2
202103,53.1
202104,58.6
202105,65.5
202106,73.8
202107,77.1
202108,77.8
202109,70.6
202110,64.4
202111,48.1
202112,50.8
202201,38.7
202202,46
202203,53.4
202204,58.8
202205,68.8
202206,75.1
202207,79.1
202208,76.5
202209,70.3
202210,57.4
202211,53.2
202212,41.8
202301,46.7
202302,51.2
202303,52.2
202304,60.3
202305,64.2
202306,70.8
202307,78.6
202308,77.3
202309,70.8
202310,60.9
202311,50.2
202312,46
202401,41.8
202402,46.8
202403,53.8
202404,61
202405,69.2
202406,75.6
202407,78.8
202408,75.9
202409,71.1
202410,61.1
202411,54.9
202412,43.6
202501,35.4
202502,45.8
202503,53.9
202504,62.9
202505,67.6
202506,76.6
202507,80.3
202508,73.7
202509,70.1
202510,59.4
202511,51.2
202512,41.8
202601,39
202602,41.3
202603,56.8
