#  North Dakota Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,14.6
201602,25.6
201603,36.3
201604,41.8
201605,56.6
201606,66
201607,69.3
201608,68
201609,58.6
201610,46.1
201611,39.3
201612,10.2
201701,11.2
201702,20.5
201703,27.4
201704,42.7
201705,54.8
201706,64.8
201707,72.2
201708,65.2
201709,58.3
201710,45
201711,26.4
201712,15.6
201801,11.8
201802,5.4
201803,24.7
201804,33.3
201805,60.2
201806,67.4
201807,69.3
201808,67.6
201809,55
201810,39.1
201811,22.9
201812,20.8
201901,9.8
201902,-2.7
201903,20.6
201904,41.8
201905,49.6
201906,64
201907,69.3
201908,65.5
201909,58.3
201910,37.6
201911,26.1
201912,16.1
202001,12.9
202002,17.8
202003,29.8
202004,37.6
202005,52.5
202006,66.9
202007,70.3
202008,69.2
202009,57.1
202010,37.8
202011,31.8
202012,23.4
202101,21
202102,5.8
202103,35.9
202104,40.7
202105,52.8
202106,69.3
202107,73.8
202108,68.9
202109,62.2
202110,48.6
202111,32.6
202112,14
202201,8.7
202202,9.4
202203,26.9
202204,33.6
202205,52.9
202206,64.6
202207,70.7
202208,69.5
202209,61
202210,46
202211,23.1
202212,6.7
202301,13.1
202302,14.5
202303,14
202304,34.7
202305,60
202306,69.2
202307,67.2
202308,67.9
202309,61.9
202310,43.7
202311,31.1
202312,26.7
202401,12.4
202402,27.1
202403,25.8
202404,43.9
202405,54
202406,62.8
202407,70.9
202408,66.9
202409,64.9
202410,49.7
202411,29.3
202412,18
202501,9.9
202502,5.6
202503,32.4
202504,42.1
202505,56.2
202506,64.1
202507,69
202508,67.6
202509,62.4
202510,48.9
202511,32.6
202512,14.2
202601,12
202602,24.3
202603,30.4
