#  Ohio Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,27.2
201602,33.6
201603,46.5
201604,50.2
201605,59.7
201606,71.2
201607,74.8
201608,76
201609,69.2
201610,57.7
201611,45.8
201612,31
201701,34.6
201702,40.5
201703,40.4
201704,56.6
201705,60.1
201706,69.6
201707,73
201708,69.7
201709,65.8
201710,57.4
201711,41.8
201712,29.2
201801,25
201802,36.6
201803,36.4
201804,45.1
201805,68
201806,71.4
201807,73.8
201808,73.6
201809,69.6
201810,54.3
201811,37.4
201812,35.1
201901,27.4
201902,33
201903,36.8
201904,52.3
201905,62.8
201906,68.8
201907,75.9
201908,71.8
201909,69.8
201910,56.5
201911,37.4
201912,36.2
202001,34.9
202002,32.8
202003,44.7
202004,47.8
202005,58.4
202006,70.4
202007,76.9
202008,72.2
202009,64.7
202010,53.5
202011,46.4
202012,33.6
202101,30.9
202102,25.2
202103,44.8
202104,51.4
202105,58.8
202106,71.5
202107,73
202108,74.6
202109,66.9
202110,60.3
202111,40.5
202112,40.2
202201,24
202202,30.7
202203,43.2
202204,48.6
202205,63.8
202206,70.6
202207,74
202208,72.2
202209,65.2
202210,52
202211,43.9
202212,32.6
202301,36.7
202302,38.6
202303,40.6
202304,52.2
202305,59.3
202306,66.9
202307,73.5
202308,70.6
202309,65.9
202310,55.8
202311,42.1
202312,40.2
202401,29.9
202402,39
202403,44.8
202404,54.8
202405,65.8
202406,71.7
202407,73.7
202408,73
202409,68.2
202410,56.2
202411,47.2
202412,34.6
202501,22.3
202502,30.4
202503,45.5
202504,52.3
202505,59.3
202506,72.6
202507,76.5
202508,70.5
202509,66.7
202510,55.3
202511,41.4
202512,29.8
202601,23.2
202602,29.5
202603,46.7
