#  Oklahoma Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,38.2
201602,47.4
201603,54.7
201604,61.4
201605,66.2
201606,79.2
201607,83.2
201608,80.8
201609,75.3
201610,67.1
201611,55.4
201612,38.8
201701,40.9
201702,50.5
201703,56.2
201704,61.4
201705,66.9
201706,77.3
201707,82.5
201708,77.3
201709,73.3
201710,62
201711,52.9
201712,40.5
201801,36.6
201802,41
201803,53
201804,54.2
201805,75.1
201806,80.6
201807,82.7
201808,79.9
201809,73.9
201810,60.1
201811,44.5
201812,40.8
201901,38.3
201902,40.3
201903,47.3
201904,60.4
201905,67
201906,75.4
201907,80.8
201908,82.4
201909,79.7
201910,57.4
201911,46.2
201912,43.2
202001,42.2
202002,41.8
202003,55.5
202004,57.9
202005,67.2
202006,78.8
202007,82.6
202008,79.4
202009,70.3
202010,58.3
202011,53.5
202012,41
202101,39.7
202102,31.3
202103,53.9
202104,57.4
202105,65.9
202106,77.4
202107,80
202108,81.3
202109,76.7
202110,64.4
202111,51.2
202112,50.4
202201,37
202202,38.5
202203,50.4
202204,61
202205,70.6
202206,79.4
202207,86.6
202208,82.5
202209,75.9
202210,62
202211,47.3
202212,40.1
202301,42.4
202302,44
202303,50.4
202304,58.7
202305,69.1
202306,76.7
202307,81.9
202308,83.7
202309,76.7
202310,62.5
202311,51
202312,44.9
202401,33.9
202402,49.8
202403,54.3
202404,62.6
202405,70.6
202406,80.3
202407,81.4
202408,83.4
202409,74.8
202410,68.1
202411,53.3
202412,45.1
202501,34.1
202502,39.2
202503,56.5
202504,61.7
202505,67.2
202506,77.9
202507,82.1
202508,79.8
202509,74.2
202510,66.5
202511,54.7
202512,44.9
202601,37.8
202602,51
202603,60.5
