#  Oregon Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,33.1
201602,40.2
201603,41.2
201604,50.1
201605,53.2
201606,60.5
201607,64.4
201608,66.7
201609,57.1
201610,48.1
201611,43.2
201612,27.4
201701,26.7
201702,34.8
201703,41.6
201704,42.9
201705,52.9
201706,59.9
201707,69.2
201708,69.6
201709,59.6
201710,47
201711,39.3
201712,32.9
201801,37.5
201802,33.2
201803,38.4
201804,45
201805,55.4
201806,58.5
201807,69
201808,66.5
201809,57.4
201810,48.8
201811,39.3
201812,32.3
201901,35.3
201902,28.8
201903,37.3
201904,46.1
201905,52.7
201906,59
201907,64.9
201908,67.1
201909,56.6
201910,43.2
201911,40.5
201912,34.2
202001,34.9
202002,35.8
202003,38.8
202004,46.3
202005,52.6
202006,57.9
202007,66
202008,67.2
202009,62.6
202010,51.3
202011,38.3
202012,34.2
202101,34.8
202102,33.6
202103,39
202104,46.6
202105,52
202106,65.2
202107,71.4
202108,66.4
202109,59.4
202110,47.6
202111,41.9
202112,32.4
202201,34.9
202202,35.6
202203,41.9
202204,40.6
202205,48.1
202206,58.3
202207,69.3
202208,70.4
202209,62.5
202210,53.8
202211,33.7
202212,30.6
202301,32
202302,32.3
202303,33.2
202304,42.8
202305,55.3
202306,59.2
202307,68.9
202308,67.7
202309,57.7
202310,50
202311,39.9
202312,37.3
202401,34.1
202402,36.7
202403,39.2
202404,44.7
202405,50.1
202406,60.6
202407,71.1
202408,65.6
202409,61.4
202410,50.8
202411,37.3
202412,36.6
202501,33.3
202502,32.6
202503,40.8
202504,46.5
202505,53.2
202506,61.4
202507,68.3
202508,68.2
202509,62.7
202510,47.2
202511,43.4
202512,39.7
202601,37.1
202602,38.9
202603,45.8
