#  Pennsylvania Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,25.4
201602,30.7
201603,43.3
201604,47
201605,57.4
201606,67.4
201607,73
201608,73.4
201609,66.2
201610,53.6
201611,42.6
201612,31.2
201701,31.8
201702,36.6
201703,35.3
201704,53.7
201705,57.1
201706,66.8
201707,71.4
201708,67.4
201709,63.8
201710,56.2
201711,39.2
201712,28
201801,23.1
201802,34.3
201803,33
201804,43.2
201805,64
201806,66.6
201807,71.6
201808,72.1
201809,66.7
201810,52.3
201811,36.7
201812,33.5
201901,25.8
201902,30.2
201903,34.7
201904,50.5
201905,60.7
201906,65.8
201907,73.2
201908,69.6
201909,65.1
201910,53.7
201911,36.5
201912,32.6
202001,32.2
202002,33.3
202003,42.5
202004,45.1
202005,56
202006,67.2
202007,74.9
202008,71.6
202009,62.1
202010,52.2
202011,44.8
202012,32.1
202101,29.4
202102,26.6
202103,40.7
202104,49.3
202105,57
202106,68.6
202107,71.2
202108,72.6
202109,64.3
202110,57.7
202111,39
202112,37.6
202201,22.5
202202,29.7
202203,39.4
202204,47
202205,60.5
202206,67.1
202207,72.3
202208,71.4
202209,63
202210,49.4
202211,42.8
202212,30.6
202301,35.8
202302,35.8
202303,37.8
202304,51.7
202305,56.2
202306,64.4
202307,72.3
202308,68.8
202309,63.6
202310,54.2
202311,39.6
202312,37.9
202401,30
202402,35.2
202403,42.1
202404,50.8
202405,62.3
202406,69.1
202407,73.4
202408,69.6
202409,64
202410,53.1
202411,44.4
202412,31
202501,22.2
202502,28.5
202503,42.6
202504,50.2
202505,58.1
202506,69.2
202507,74.4
202508,67.4
202509,64.2
202510,51.8
202511,39.9
202512,27.2
202601,22
202602,26.2
202603,42.6
