#  Rhode Island Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,31.3
201602,33.1
201603,42.9
201604,46.2
201605,57.9
201606,66.9
201607,73.8
201608,73.9
201609,66.4
201610,54.7
201611,45.2
201612,34.2
201701,34.2
201702,35.2
201703,34.1
201704,51.5
201705,56.5
201706,66.8
201707,71.1
201708,69.8
201709,66.4
201710,59.6
201711,43.1
201712,30.1
201801,27.6
201802,37.7
201803,37.3
201804,44.4
201805,61.4
201806,65.9
201807,73.8
201808,75.1
201809,66.5
201810,52.7
201811,41
201812,35.3
201901,29
201902,31.6
201903,35.9
201904,49.2
201905,56.4
201906,66.5
201907,74.8
201908,71.3
201909,63.9
201910,54.7
201911,40.1
201912,34.1
202001,35.3
202002,35.4
202003,42.6
202004,44.1
202005,56.6
202006,68.1
202007,75.4
202008,73.8
202009,64.5
202010,54.6
202011,47.5
202012,35.7
202101,31.3
202102,30.9
202103,40.2
202104,48.8
202105,58
202106,69.6
202107,71.2
202108,73.6
202109,66.4
202110,58.4
202111,42.9
202112,38.6
202201,27
202202,32.4
202203,40.6
202204,48.4
202205,60.4
202206,66.3
202207,74.4
202208,75
202209,63.6
202210,54.4
202211,46.8
202212,35.5
202301,37.8
202302,34.3
202303,39.7
202304,50.7
202305,56.2
202306,64.5
202307,74.3
202308,69.6
202309,65.8
202310,56.8
202311,41
202312,39.7
202401,32.1
202402,33.8
202403,42.4
202404,47.8
202405,59
202406,69
202407,74.2
202408,70.2
202409,63.6
202410,54.6
202411,46.8
202412,33.8
202501,27.6
202502,30.1
202503,42.3
202504,49.9
202505,59.2
202506,69.3
202507,74.9
202508,68.5
202509,64.7
202510,54.4
202511,42.2
202512,30.6
202601,26.2
202602,25.6
202603,39.8
