#  South Carolina Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,43
201602,48
201603,60.6
201604,63.1
201605,70.1
201606,79.8
201607,83.7
201608,81.9
201609,77.1
201610,66.4
201611,55.6
201612,49
201701,51.4
201702,55.5
201703,55.5
201704,67
201705,71.5
201706,76.9
201707,81
201708,79.4
201709,74.3
201710,66.2
201711,54.3
201712,47.8
201801,40.6
201802,57.4
201803,52
201804,60
201805,73.8
201806,80.2
201807,80.2
201808,80
201809,79.4
201810,66.9
201811,51.9
201812,48.6
201901,46.7
201902,53
201903,54.1
201904,64
201905,75.4
201906,77.2
201907,81.4
201908,80.3
201909,78.3
201910,68.5
201911,51
201912,50.3
202001,50.3
202002,50.9
202003,60.4
202004,62.1
202005,68
202006,76.1
202007,81.9
202008,80.1
202009,73.3
202010,67.4
202011,59.3
202012,45.6
202101,46
202102,47.2
202103,57.6
202104,62
202105,69.1
202106,76.8
202107,79.4
202108,80.1
202109,73.5
202110,66.8
202111,51.6
202112,54.6
202201,43.6
202202,51.8
202203,57.7
202204,62.3
202205,72.8
202206,78.9
202207,81.3
202208,79
202209,73.8
202210,60.9
202211,57
202212,46.1
202301,50.4
202302,56.2
202303,57.1
202304,63.4
202305,67.4
202306,74.2
202307,81.4
202308,80.8
202309,73.4
202310,63.7
202311,54.2
202312,49.3
202401,45.9
202402,50.7
202403,58.1
202404,64.5
202405,72.7
202406,78.8
202407,82
202408,79.2
202409,74.9
202410,64.9
202411,59.6
202412,47.6
202501,40.2
202502,51.8
202503,57.5
202504,66.5
202505,71.3
202506,79.2
202507,83.2
202508,76.8
202509,73.5
202510,62.9
202511,55.6
202512,47
202601,44
202602,47.2
202603,60.4
