#  South Dakota Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,19.8
201602,31.2
201603,40.1
201604,46.3
201605,56.7
201606,70.7
201607,73
201608,71
201609,62.4
201610,51.6
201611,42
201612,15.4
201701,16.5
201702,29.4
201703,35.5
201704,46.1
201705,56
201706,68.1
201707,76
201708,67.4
201709,61.8
201710,48
201711,34.7
201712,21.7
201801,18.1
201802,11.6
201803,30.4
201804,36.7
201805,62.1
201806,69.3
201807,72.2
201808,69.9
201809,61.5
201810,43.2
201811,29.3
201812,25.3
201901,18
201902,6.1
201903,25.1
201904,44.2
201905,50.4
201906,66.3
201907,72.1
201908,68.2
201909,63.1
201910,40.2
201911,31.1
201912,23.3
202001,20.1
202002,23.5
202003,36.4
202004,42
202005,54.2
202006,70.3
202007,73.5
202008,72.6
202009,60.4
202010,41.2
202011,38.6
202012,28.3
202101,26.5
202102,12.8
202103,39.4
202104,43.6
202105,55
202106,72.3
202107,75.3
202108,72.5
202109,65
202110,51.2
202111,38.2
202112,24.5
202201,19.1
202202,20
202203,33.4
202204,39.7
202205,55.4
202206,67.6
202207,74.6
202208,73.2
202209,65.4
202210,49.4
202211,29.2
202212,15.1
202301,19.9
202302,22
202303,23.9
202304,41.3
202305,61.2
202306,69.7
202307,70.8
202308,71.6
202309,64.8
202310,47.3
202311,37
202312,31.2
202401,16.4
202402,32.7
202403,34.1
202404,46.5
202405,56.5
202406,66.9
202407,72.9
202408,70.7
202409,68.2
202410,53.6
202411,34.4
202412,26.3
202501,16.4
202502,14.9
202503,39.2
202504,45.6
202505,57
202506,67.4
202507,72.8
202508,71
202509,64.8
202510,52.3
202511,37.3
202512,25.3
202601,20.9
202602,32.1
202603,40.2
