#  Tennessee Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,34.8
201602,42.5
201603,53.9
201604,59.5
201605,65.3
201606,76.5
201607,79.8
201608,79
201609,74.1
201610,64.6
201611,52.7
201612,40.9
201701,44.9
201702,48.9
201703,51.1
201704,63.1
201705,66.6
201706,73
201707,78.1
201708,74.6
201709,69.1
201710,60.8
201711,49.9
201712,39.5
201801,32.9
201802,48.5
201803,48.2
201804,52.9
201805,72.3
201806,76.5
201807,78.1
201808,76.5
201809,74.9
201810,61
201811,44.4
201812,42.7
201901,39.4
201902,46.7
201903,46.9
201904,59.3
201905,70.1
201906,73.4
201907,77.8
201908,76.9
201909,76.4
201910,61.7
201911,44.2
201912,45.2
202001,43
202002,43.4
202003,54.7
202004,55.4
202005,64
202006,73.5
202007,79.2
202008,76.4
202009,69.9
202010,60.4
202011,51.9
202012,39.5
202101,39.7
202102,37.4
202103,53.6
202104,56.2
202105,64.1
202106,74
202107,77
202108,77.2
202109,69.7
202110,63.4
202111,45.6
202112,50.4
202201,35.5
202202,41.8
202203,51.6
202204,56.7
202205,69
202206,75.8
202207,80.2
202208,76.4
202209,69.4
202210,56.3
202211,49
202212,40.8
202301,44.9
202302,48.6
202303,50.5
202304,57.8
202305,66.1
202306,72
202307,77.3
202308,76.2
202309,70.9
202310,60.9
202311,50
202312,44.2
202401,34.8
202402,47.8
202403,52.9
202404,60.5
202405,69.4
202406,75.6
202407,78.3
202408,76.8
202409,71.4
202410,61.6
202411,54.8
202412,42.9
202501,32.7
202502,43.2
202503,53.1
202504,62.1
202505,66.5
202506,76
202507,80.4
202508,75.6
202509,71.4
202510,61.2
202511,50.8
202512,41.5
202601,36.3
202602,42.8
202603,57.8
