#  Utah Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,26.6
201602,33.7
201603,42.2
201604,47.9
201605,54.4
201606,70.9
201607,73.7
201608,70.1
201609,61.1
201610,53.2
201611,41.6
201612,27.4
201701,25.9
201702,36.5
201703,45.3
201704,46
201705,55.6
201706,69.5
201707,75.1
201708,71.6
201709,60.7
201710,48.1
201711,43
201712,31.4
201801,32.8
201802,32.2
201803,39.2
201804,49
201805,58.3
201806,69.1
201807,76.1
201808,72.4
201809,65.8
201810,47.5
201811,35
201812,27.4
201901,27
201902,27.2
201903,38.2
201904,48.6
201905,50.5
201906,63.6
201907,73.3
201908,72.8
201909,63.1
201910,42.9
201911,38.5
201912,28.8
202001,28.7
202002,31.1
202003,40.8
202004,47.4
202005,59
202006,65.4
202007,73.7
202008,75.8
202009,63.9
202010,52.8
202011,38.8
202012,27.2
202101,28.1
202102,32.2
202103,38.4
202104,47.4
202105,57.1
202106,71.9
202107,76.2
202108,70.9
202109,64.4
202110,47.9
202111,42.5
202112,31.1
202201,29.6
202202,29.6
202203,40.2
202204,46.4
202205,55
202206,67.6
202207,75.5
202208,72.4
202209,66.6
202210,50.8
202211,32.5
202212,28.2
202301,26.1
202302,26.5
202303,32.3
202304,44.4
202305,57.8
202306,62.8
202307,75.8
202308,70.9
202309,62.5
202310,51
202311,38.9
202312,32.6
202401,29.9
202402,34.1
202403,38.8
202404,48.2
202405,53.7
202406,70.7
202407,75.2
202408,72.2
202409,65.5
202410,55.8
202411,34.8
202412,33.7
202501,25.8
202502,35.8
202503,41.3
202504,47.8
202505,58
202506,69.4
202507,74.1
202508,72.6
202509,64.1
202510,50.9
202511,44.3
202512,38.4
202601,32.6
202602,38.9
202603,51.1
