#  Vermont Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,20.9
201602,23.9
201603,33.6
201604,38.2
201605,54
201606,62
201607,67.4
201608,67.5
201609,59.9
201610,47.7
201611,36.8
201612,23.9
201701,24.8
201702,25.6
201703,23.5
201704,45.2
201705,51.8
201706,61.5
201707,65.2
201708,63.3
201709,60.8
201710,53
201711,33
201712,17.9
201801,16.5
201802,25.5
201803,28.2
201804,36.1
201805,56.5
201806,60.1
201807,69.2
201808,68.4
201809,60.6
201810,44.5
201811,30
201812,23
201901,14.9
201902,19
201903,25.9
201904,41.2
201905,50.8
201906,60.5
201907,68.9
201908,64.6
201909,56.8
201910,47.3
201911,29.3
201912,23.3
202001,23.4
202002,22.4
202003,33
202004,38.8
202005,52.6
202006,62.8
202007,70.9
202008,65.2
202009,57.2
202010,46.4
202011,37.9
202012,27.3
202101,20.5
202102,18.8
202103,30.9
202104,43.2
202105,53.3
202106,65.4
202107,64.9
202108,68.8
202109,59.5
202110,51.6
202111,34.3
202112,28.2
202201,11.8
202202,21
202203,30.7
202204,41.3
202205,56.9
202206,61.4
202207,67.4
202208,68.4
202209,57.8
202210,48
202211,38.6
202212,27.2
202301,27.3
202302,22.9
202303,30.2
202304,45.1
202305,51.7
202306,61.7
202307,69.7
202308,64
202309,61
202310,51.7
202311,32.9
202312,31.2
202401,23.4
202402,26.7
202403,33.8
202404,42.3
202405,57.7
202406,64.8
202407,70.5
202408,65.6
202409,60
202410,48.1
202411,38.5
202412,23.6
202501,17.2
202502,18
202503,33.5
202504,42.6
202505,53.9
202506,64.3
202507,69.5
202508,64.4
202509,59
202510,48.2
202511,33.7
202512,18.8
202601,16.3
202602,15.7
202603,32.5
