#  Virginia Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,33.1
201602,38.4
201603,51.8
201604,55.1
201605,61.9
201606,71.8
201607,77.3
201608,77
201609,71.8
201610,59.8
201611,48.3
201612,39.1
201701,40.1
201702,46
201703,45.9
201704,60.6
201705,63.4
201706,71.2
201707,76.8
201708,72.8
201709,67.4
201710,60.2
201711,46.1
201712,37.2
201801,31.8
201802,45.2
201803,41.2
201804,52.2
201805,69.7
201806,73.1
201807,75.1
201808,75.2
201809,72.8
201810,59
201811,43.8
201812,39.7
201901,36.3
201902,41.8
201903,43.9
201904,58.1
201905,68.9
201906,71.2
201907,77.1
201908,74.7
201909,72.5
201910,60.6
201911,43.1
201912,41.5
202001,40.6
202002,42.4
202003,51.7
202004,53.3
202005,60.5
202006,71.3
202007,78.7
202008,75.5
202009,66.4
202010,59
202011,51.3
202012,38.4
202101,36.6
202102,36.6
202103,48.5
202104,55.3
202105,62.3
202106,72
202107,75.9
202108,76.4
202109,68.4
202110,62.3
202111,44.5
202112,45.8
202201,32.8
202202,40.7
202203,48.9
202204,55.2
202205,65
202206,72.2
202207,76.9
202208,74.7
202209,67.9
202210,53.9
202211,49
202212,37.3
202301,42.7
202302,46.2
202303,47.4
202304,57.7
202305,61.4
202306,67.9
202307,76.7
202308,74.3
202309,68.4
202310,58.7
202311,45.9
202312,42.4
202401,37.1
202402,42.8
202403,50.1
202404,58.2
202405,66.5
202406,73.7
202407,77.4
202408,74.4
202409,68.1
202410,58.4
202411,51.4
202412,38.8
202501,30.8
202502,40
202503,50.6
202504,59.2
202505,64.3
202506,74.4
202507,78.6
202508,71.4
202509,67.7
202510,56.7
202511,47.4
202512,36.8
202601,33.3
202602,36.5
202603,52.6
