#  Washington Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,33
201602,39.1
201603,41.8
201604,51.6
201605,55.1
201606,59.9
201607,63.6
201608,65.9
201609,56.4
201610,47.4
201611,43
201612,26.1
201701,24.8
201702,31
201703,39.3
201704,44.2
201705,53.7
201706,59.5
201707,67.1
201708,68.6
201709,59.8
201710,46.2
201711,37.7
201712,29.9
201801,35.4
201802,32.4
201803,38.8
201804,45.3
201805,57.6
201806,58.2
201807,67.5
201808,66
201809,56.3
201810,47.4
201811,38.6
201812,33.1
201901,34.2
201902,25.3
201903,36.2
201904,46.3
201905,55.6
201906,59.5
201907,63.8
201908,66.4
201909,57.1
201910,42.8
201911,37.6
201912,33.5
202001,34.2
202002,35.6
202003,38.3
202004,46
202005,53.3
202006,57.9
202007,64.8
202008,65.7
202009,61.2
202010,48.4
202011,37.6
202012,33.7
202101,34.6
202102,31.4
202103,39.7
202104,46.8
202105,52.6
202106,64.6
202107,69.7
202108,65.8
202109,58
202110,46.6
202111,39.9
202112,29.4
202201,31.2
202202,33.6
202203,41.5
202204,40.9
202205,48.5
202206,58
202207,67.9
202208,69.8
202209,61.7
202210,53.6
202211,32.1
202212,26.3
202301,33.2
202302,32.4
202303,36.6
202304,43.2
202305,58.2
202306,60.7
202307,67.5
202308,67.6
202309,58.3
202310,49.1
202311,37.4
202312,36.2
202401,30
202402,36.6
202403,40.6
202404,45.2
202405,51.2
202406,58.3
202407,69.5
202408,65.4
202409,61.7
202410,48.5
202411,38
202412,35
202501,31.1
202502,30.4
202503,41.5
202504,47.1
202505,53.3
202506,61.2
202507,67.6
202508,68.1
202509,63.6
202510,46.8
202511,41
202512,37.5
202601,34.4
202602,36.7
202603,41.5
