#  West Virginia Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,27.6
201602,34.9
201603,48.5
201604,53
201605,59.5
201606,69.5
201607,73.7
201608,75.1
201609,69.4
201610,57.3
201611,45.6
201612,35.6
201701,37.5
201702,42.1
201703,42.3
201704,57.5
201705,61
201706,67.7
201707,72.4
201708,69.3
201709,64.6
201710,57.5
201711,43.2
201712,33
201801,27
201802,41.7
201803,38
201804,47.7
201805,67.9
201806,70
201807,72.5
201808,72.4
201809,70.4
201810,55.3
201811,40
201812,36.7
201901,32
201902,38.5
201903,40.1
201904,54.9
201905,65.5
201906,67.6
201907,74.3
201908,71.5
201909,70
201910,57.7
201911,39.3
201912,38.5
202001,37.3
202002,38
202003,47.8
202004,48.9
202005,57.8
202006,68.1
202007,75.6
202008,72.5
202009,64.2
202010,55.4
202011,47.5
202012,34.3
202101,32.6
202102,31.6
202103,45.8
202104,51.3
202105,58.7
202106,69.2
202107,72.2
202108,73.9
202109,65.5
202110,59.4
202111,40.9
202112,42.6
202201,27.3
202202,35.3
202203,44.6
202204,50.8
202205,63
202206,68.7
202207,73
202208,71.7
202209,64.2
202210,50.3
202211,44.9
202212,34.4
202301,38.9
202302,41.6
202303,43
202304,53.9
202305,58.4
202306,64.8
202307,73
202308,70.6
202309,65.5
202310,55.6
202311,42.5
202312,39.7
202401,32.2
202402,40.9
202403,46.9
202404,55.8
202405,64.8
202406,70.1
202407,74.3
202408,72.1
202409,66.7
202410,55.3
202411,48.2
202412,35.6
202501,24.1
202502,35.6
202503,46.9
202504,55
202505,60.5
202506,71.5
202507,76.1
202508,70.3
202509,65.8
202510,54.3
202511,43.2
202512,33.9
202601,27.9
202602,32
202603,49.7
