#  Wisconsin Average Temperature
# Units: Degrees Fahrenheit
Date,Value
201601,16.2
201602,22.6
201603,36.8
201604,42.9
201605,56.1
201606,65.8
201607,69.9
201608,69.5
201609,62.6
201610,50.4
201611,41.6
201612,19.9
201701,19.4
201702,27.8
201703,30.2
201704,46.4
201705,53.3
201706,65.6
201707,68.8
201708,64.2
201709,62.2
201710,50
201711,31.4
201712,17.3
201801,15.2
201802,16.1
201803,29.7
201804,33.5
201805,62
201806,66.5
201807,69.8
201808,68.5
201809,61.2
201810,43.6
201811,27.3
201812,25.1
201901,13.1
201902,13.5
201903,25.7
201904,42.4
201905,51.8
201906,63.6
201907,71.3
201908,65.6
201909,62
201910,45
201911,28.2
201912,23.5
202001,21.5
202002,19.2
202003,34.3
202004,40.7
202005,54.1
202006,66.5
202007,71.9
202008,68.3
202009,57.3
202010,41.3
202011,38.6
202012,24.2
202101,20.3
202102,10.7
202103,36.9
202104,45
202105,54.9
202106,69.4
202107,69.4
202108,69.2
202109,61.2
202110,53.5
202111,33.9
202112,24.8
202201,9.2
202202,14.9
202203,29.5
202204,39
202205,57.2
202206,65.5
202207,69.4
202208,67.5
202209,60.4
202210,47.2
202211,35.3
202212,19.2
202301,23
202302,21.7
202303,28.7
202304,43.4
202305,56.8
202306,66.6
202307,68.5
202308,67.7
202309,63.2
202310,49.4
202311,34.5
202312,32.2
202401,21
202402,31.4
202403,35.2
202404,45.3
202405,57.7
202406,65.6
202407,68.8
202408,67.8
202409,63.9
202410,52.1
202411,38.3
202412,23.6
202501,14.3
202502,16.6
202503,35.4
202504,42.8
202505,55
202506,66.3
202507,71.1
202508,66.6
202509,62.2
202510,51.6
202511,35.1
202512,17.6
202601,11.9
202602,24.3
202603,34.7
